name,latitude,longitude
test,40.52177479622024,-73.9537838101387
Taco Bell Cantina,40.70826183607628,-74.00499790906906
Mr. Fongs,40.712456799594996,-73.99407595396042
Sauced in Brooklyn,40.7126494384031,-73.96227568387985
Sunday in Brooklyn,40.71418547942566,-73.96534413099289
Blue ,40.72734575168495,-73.98625999689102
Washington Square Park,40.730744812759625,-73.99830311536789
The Ainsworth,40.731307520856994,-73.98883491754532
Irving Plaza,40.73491189434558,-73.9882555603981
Grand central,40.75269042855718,-73.97725313901901
Central Park,40.774106287632435,-73.97081583738327
Bodega Taco Bar,41.0763033484123,-73.4707823395729
The SoNo Collection,41.10467194762763,-73.4186401963234
The Promenade at a Private Estate,42.11437051728682,-73.91114741563797
El Jefe's Taqueria,42.37250905487506,-71.11971348524094
Clements House,42.39085536662635,-71.10042840242386
